ID1,ID2,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
F4HQG4,AT1G01020.2,0.27796,0.00319,0.02875,1,0.19169,0.00639,0.03834,0.92652,0,0.2492
F4HQH8,AT1G01080.2,0.00302,0.01041,0.00545,1,0.00575,0.26841,0.18139,0.93618,0,0.01951
O24457,AT1G01090.1,0.01477,0.00245,0.03612,0.96852,0.00135,0.10548,0.11078,1,0,0.04177
Q8LCW9,AT1G01100.1,0.20888,0.15432,0.03186,0.01772,0.29192,0.10135,1,0,0.22362,0.2722
Q9MAL9,AT1G01160.1,0.16764,0.28932,0,0.00065,0.24725,0.61489,1,0.00906,0.45307,0.189
Q2HIQ2,AT1G01170.1,0.08522,0,1,0.35866,0.05306,0.00243,0.02025,0.42227,0.00728,0.0603
F4HS78,AT1G01180.1,0.5836,0.12621,0.18015,0.02589,1,0,0.10464,0.14132,0.35599,0.89752
A0A1P8APH6,AT1G01220.4,0.28625,0.53322,0,0.03218,0.47639,0.76348,1,0.06352,0.5186,0.36064
Q39056,AT1G01290.1,0.0132,0.05178,0.30406,1,0.03249,0.00558,0.10558,0.41269,0.02335,0
Q9LNJ3,AT1G01300.1,1,0.4612,0.5765,0.30599,0.7694,0,0.86475,0.25499,0.54324,0.82262
Q8RVQ9,AT1G01370.1,0,0,0,0,0,0,1,0,0,0
Q6NQ63,AT1G01440.1,1,0.59257,0,0.01957,0.70369,0.03882,0.0258,0.51849,0.51849,0.96296
O03983,AT1G01470.1,0.95009,0.63667,0.17835,0.07496,1,0.07013,0,0.0966,0.77621,0.98605
A0A1P8AS52,AT1G01490.4,1,0.20184,0.11819,0.01604,0.61547,0,0.07798,0.04022,0.35052,0.92042
O23702,AT1G01510.1,0.75629,0.73284,0,0.04405,1,0.56293,0.48799,0.08352,0.80664,0.93021
Q08733,AT1G01620.1,0.38326,1,0.13632,0.07169,0.46533,0,0.04176,0.0382,0.71795,0.39202
Q0WMJ8,AT1G01650.1,0.76534,0.32222,0.21263,0.19655,0.78201,0,0.02144,0.26147,0.43419,1
F4HU51,AT1G01710.1,0.07115,0.21937,0,0.01902,0.37994,0.13093,1,0.00568,0.19886,0.05731
Q9LQ84,AT1G01725.1,0.05996,0.01282,1,0.38057,0.02741,0,0.01715,0.40398,0.01186,0.03094
Q9LQ83,AT1G01730.1,0,0.00993,0,0.00948,0.02708,0.05776,1,0.00677,0.07807,0
Q9ZTZ7,AT1G01790.1,0.06113,0,0.15821,0.94686,0.12026,0.09029,0.03716,1,0.03875,0.10028
Q94K30,AT1G01800.1,0.35924,0.52299,0.00044,0.14799,0.69418,1,0.08932,0,0.68914,0.49956
Q9LQ73,AT1G01820.1,0.8489,0.14142,1,0.60188,0.30257,0,0.13444,0.94557,0.23632,0.55741
Q949M9,AT1G01910.1,0.79967,0.69574,0.02328,0,1,0.62379,0.06654,0.01952,0.95391,0.84529
F4HU79,AT1G01920.1,0.22819,0.1277,0,0.79902,0.35799,0.7739,1,0.96162,0.15492,0.36427
Q9LPC8,AT1G01930.1,0.18812,0.32292,0,0.12947,0.33968,0.66946,1,0.25362,0.37167,0.22087
Q9LPC7,AT1G01940.1,0.05934,0.03097,0,0.05019,0.1354,0.20815,1,0.06381,0.07378,0.09903
A0A1P8AMI8,AT1G01950.4,0.18467,0.24347,0,0.19724,0.26985,0.19749,1,0.25779,0.2397,0.31156
Q9LPC5,AT1G01960.1,0.34385,0.46063,0.02858,0,0.54119,0.76753,1,0.00972,0.55887,0.41537
Q9LPC4,AT1G01970.1,0.01594,0.02888,0.03187,1,0,0.03386,0.98506,0.77988,0.0259,0.02191
Q9LPC1,AT1G02000.1,0.9897,0.20844,0.44237,0.14566,0.44262,0,0.20672,0.14174,0.30211,1
O23673,AT1G02020.1,0.0091,0,0.07582,0.97346,0.00758,1,0.30478,0.86581,0.00152,0.02123
F4HVV7,AT1G02080.2,0.46994,0.94372,0,0.24565,0.75046,0.88086,1,0.26579,0.97501,0.6239
Q94JU3,AT1G02090.1,0.19748,0.35949,0,0.01717,0.37571,0.89859,1,0.02929,0.4233,0.26022
Q8VY08,AT1G02100.1,0.21097,0.42498,0.05331,1,0.40213,0,0.21325,0.89337,0.44935,0.37928
Q56W45,AT1G02110.1,0.89811,0.57549,0.16019,0.42875,0.92302,0,0.27803,0.23617,0.84131,1
F4HVW5,AT1G02120.1,0.96184,0.64169,0.19989,0.03719,0.69428,0,0.0544,0.05554,0.695,1
P28188,AT1G02130.1,0.5371,0.67694,0.06038,0,1,0.46525,0.08457,0.00953,0.78955,0.64516
O23676,AT1G02140.1,0,0.01595,0.02265,0.00548,0.04194,0.09604,1,0.00819,0.05197,0.01096
A8MR93,AT1G02145.1,0.98509,0.42564,0.37465,0.09304,0.59866,0,0.07123,0.16851,0.48518,1
Q8LPS6,AT1G02150.1,0.03026,0,0.0529,0.97963,0.01246,0.06983,0.30942,1,0.00681,0.04667
Q7XJE6,AT1G02170.1,0.82118,0.42847,0.06592,0.20898,0.70968,0,1,0.04628,0.54488,0.91725
A0A1P8ATK3,AT1G02270.2,0.90326,0.23633,0.29852,0.18342,0.53346,0,0.08174,0.12971,0.33801,1
O23680,AT1G02280.1,0.28289,0,0.10452,0.98545,0.08491,0.07653,0.83318,1,0.02372,0.26518
F4HVZ1,AT1G02300.1,1,0.27624,0.34254,0.0221,0.64088,0,0.47514,0.09392,0.48619,0.87845
Q93VC9,AT1G02305.1,0.85764,0.11945,0.05788,0.03799,0.65516,0.0495,0.85082,0,0.30752,1
Q9FZ29,AT1G02310.1,0.80591,0.10335,0.20022,0.03673,0.70688,0,0.0054,0.11271,0.25171,1
F4HVZ5,AT1G02330.1,0.05484,0.07968,0,0.00871,0.12935,0.02645,1,0.01677,0.18581,0.07839
Q9FZ27,AT1G02335.1,0.02065,0,0.02184,0.02065,0.03519,0.02008,1,0.02145,0.02369,0.01784
Q9FZ24,AT1G02370.1,0,0.02983,1,0.93609,0.05859,0.02157,0.14021,0.64154,0.01132,0.01571
Q9FZ23,AT1G02380.1,0.75973,0.03356,0.13289,0.01477,0.74362,0.05101,0,0.07919,0.23221,1
Q8GWR0,AT1G02410.1,0.20746,0.03258,1,0.22032,0.09044,0.00686,0,0.30519,0.0673,0.16374
Q94K52,AT1G02475.1,0,0.00652,0.04018,0.92136,0.00953,0.0577,0.00424,1,0.00456,0.0176
P23686,AT1G02500.1,0.20606,0.28143,0.0445,0.0444,0.31292,0,1,0.03346,0.31385,0.22978
Q9FWX6,AT1G02510.1,0.03994,0.06065,0.00493,0,0.08013,0.02268,1,0,0.06435,0.05991
Q9FWX7,AT1G02520.1,0.61417,1,0.17058,0.07053,0.6238,0,0.07802,0.04681,0.8116,0.67819
Q9FWX8,AT1G02530.1,0.0111,0.02838,0,0.00883,0.02762,1,0.226,0.01022,0.01879,0.02207
Q9S834,AT1G02560.1,0.03628,0.00921,0.05149,0.94056,0.007,0.03402,0.001,1,0,0.05501
Q6NQH4,AT1G02680.1,0,0.02269,0,0,0.02995,0.05717,1,0,0,0
Q9FWY7,AT1G02690.1,0.10499,0.15385,0.01458,0.00365,0.19686,0.43347,1,0,0.144,0.11812
Q9SRW9,AT1G02730.1,0.80791,0.4661,0.16102,0.11299,0.68362,0,0.07062,0.11864,0.18079,1
Q9SRX2,AT1G02780.1,0.53563,0.75132,0.34526,0.42361,0.56392,0,1,0.19958,0.64726,0.59029
Q9SRX5,AT1G02816.1,0.88543,0.62684,0.29133,0.27496,0.76923,0,0.54501,0.27332,0.74959,1
Q9SRX7,AT1G02830.1,0.24955,0.40018,0.00535,0,0.35829,0.38057,1,0.041,0.47326,0.29055
O22315,AT1G02840.1,0.01754,0.02262,0,0.01333,0.05349,0.42552,1,0.01578,0.04051,0.00701
Q8RWK5,AT1G02870.1,0.0041,0,0.00077,0.01286,0.02865,0.46241,1,0.03839,0.05183,0.01118
F4HZ82,AT1G02890.1,0.03088,0.06239,0,0.00848,0.0704,0.09439,1,0.00619,0.08356,0.03881
Q9SRY4,AT1G02910.1,0.18501,0.01594,0.08583,0.94523,0.05777,0,0.30613,1,0.05381,0.19346
P42760,AT1G02930.1,0.68401,0.81075,0.0108,0,0.98037,0.20997,0.14594,0.00164,1,0.80901
Q9SRZ0,AT1G02980.1,0.0534,0.08392,0,0.00826,0.10362,0.15257,1,0.03687,0.12587,0.05086
F4HZA0,AT1G02990.2,0,0.00353,0,0.01005,0.00516,1,0,0.00978,0,0.00869
Q8RY16,AT1G03000.1,0.16623,0.30905,0.01624,0.01672,0.37115,1,0.66969,0,0.39455,0.21041
Q500U9,AT1G03030.1,0.03012,0.00287,0.03699,0.96979,0,0.03346,0.00116,1,0.00077,0.05354
A0A1P8AT16,AT1G03060.4,0.22423,0.51696,0.21073,0,0.50543,0.43727,1,0.0652,0.68225,0.37866
Q9SA63,AT1G03070.1,0.24921,0.653,1,0.42587,0.8265,0,0.14511,0.18927,0.79811,0.55836
F4HZB5,AT1G03080.1,0.71767,0.62663,0,0.09564,1,0.74751,0.35807,0.19969,0.67636,0.90513
Q42523,AT1G03090.1,0,0.06604,0.62712,1,0.02963,0.03956,0.21671,0.55924,0.04537,0.00774
Q9SA60,AT1G03100.1,0,0,0.9939,1,0.07927,0.09756,0.45122,0.77439,0.08537,0
Q93WD7,AT1G03110.1,0.32513,0.52971,0.01443,0.02037,0.59593,1,0.33701,0,0.55178,0.45416
Q9SA55,AT1G03140.1,0.00549,0,0.01328,0.00459,0.02415,0.10685,1,0.0099,0.01533,0.00211
Q8LGI8,AT1G03150.1,0.27127,0.51364,0.01445,0,0.42135,0.42697,1,0.01886,0.54615,0.34551
Q1KPV0,AT1G03160.1,0.01164,0.00166,0.05142,1,0.00602,0.05115,0.0364,0.98108,0,0.03464
Q8W4M7,AT1G03190.1,0.02008,0.02366,0,0.02756,0.04713,0.08825,1,0.02398,0.04706,0.04304
Q9ZVS4,AT1G03220.1,0.87429,0.09805,0.12448,0,0.63439,1,0.17228,0.04902,0.22637,0.90871
Q6NMJ6,AT1G03260.1,0.21497,0.01497,0,0,0.17647,1,0.03529,0.06738,0.13583,0.28663
Q93ZW3,AT1G03280.1,0.01771,0.01417,0,0.06856,0.05364,0.09703,1,0.06502,0.02745,0.01493
Q9ZVT0,AT1G03290.1,0.85484,0.27016,0.1371,0.25806,0.69355,0,0.7379,0.14919,0.29839,1
Q8L735,AT1G03310.1,0,0.00358,0.03329,1,0.01182,0.04863,0.17891,0.95815,0.00441,0.02594
Q1H595,AT1G03330.1,0.08811,0.13263,0,0.00964,0.17829,0.28821,1,0.02088,0.12689,0.09821
Q9ZVT6,AT1G03350.1,0.33083,1,0,0.00376,0.76629,0.08835,0.27318,0.0589,0.98997,0.49937
Q9ZVT7,AT1G03360.1,0.02046,0.04173,0,0.01205,0.05508,0.11533,1,0.01198,0.05494,0.02593
Q9ZVT9,AT1G03370.1,1,0.55519,0.18673,0.02535,0.67512,0,0.22119,0.07691,0.55491,0.9624
Q8GUL1,AT1G03380.1,0.27613,0.23152,0.0085,0,0.31436,1,0.16822,0.09133,0.28547,0.42651
Q8L9T7,AT1G03430.1,0.38806,0.43193,0,0.06242,0.62551,1,0.11171,0.05699,0.48349,0.46314
Q9LR75,AT1G03475.1,0.0096,0.00738,0.03311,0.95525,0,0.0646,0.00395,1,0.00063,0.02758
A8MQE8,AT1G03520.2,0.47777,0.00284,0.15799,0,0.41816,0.01798,0.49101,0.04447,0.10312,1
Q9LR65,AT1G03590.1,0.67887,1,0.05628,0.07633,0.87124,0,0.38165,0.00732,0.94526,0.84002
Q9LR64,AT1G03600.1,0.01317,0.00925,0.04918,0.81579,0.01932,0.06371,0.15012,1,0,0.0361
O48741,AT1G03630.1,0.0079,0,0.02679,0.85978,0.00733,0.08206,0.07233,1,0.00204,0.03821
O48737,AT1G03680.1,0.0041,0.00275,0.04568,0.96702,0.00712,0.04977,0.0313,1,0,0.03836
Q9LR53,AT1G03740.1,0.65051,0.99096,0,0.03247,0.90306,0.27319,0.01136,0.01531,1,0.80543
