ID1,ID2,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11
A0A1P8ANM1,AT1G63260.4,1,0.8198,0.96193,0.67259,0.44924,0.42386,0.14467,0.05076,0.07107,0,0.17766
A0A1P8AP14,AT1G76320.3,0.01692,0,0.00677,0.00254,0.01777,0.1489,0.1269,0.26396,0.1286,1,0.03046
A0A1P8APH6,AT1G01220.4,1,0.38588,0.8667,0.18298,0.10182,0.08411,0.05632,0.36719,0.90531,0.48967,0
A0A1P8AXW1,AT2G17320.2,0.0099,0,0.0345,0.02332,0.06006,1,0.53578,0.16422,0.07476,0.16613,0.75208
A0A1P8AY11,AT2G44180.2,0.3402,0.44034,0.30824,0.22514,0.31463,0.09375,0.46591,1,0.0831,0.17827,0
A0A1P8B653,AT4G25570.2,1,0.70075,0.88043,0.25374,0.11209,0.08084,0.10937,0.61243,0.02649,0,0.02514
A0A1P8B9A2,AT5G65130.2,0.0939,0.0486,0.09226,0.13591,0.19357,0.14745,0.243,0.19522,0,1,0.11614
A0A1P8BBD3,AT5G59960.2,0.28269,0.49185,0.35051,1,0.80537,0.15236,0.29326,0.02686,0,0.05636,0.04668
A0A1P8BBM9,AT5G27660.2,0.0468,0,0.02424,0.038,0.0907,1,0.94974,0.05719,0.03875,0.18692,0.60651
A0A1P8BEY1,AT5G59865.1,0.04195,0,0.02607,0.02465,0.02489,1,0.70183,0.00237,0.0301,0.06566,0.69922
A0A2H1ZE46,AT2G43140.1,0.27612,0,0.17537,0,0.18284,0.44776,0.5597,1,0.54851,0.1194,0.25746
F4HQH8,AT1G01080.2,0.03169,0.01161,0.03307,0,0.01222,1,0.15324,0.08511,0.02571,0.20987,0.95001
O24457,AT1G01090.1,0.05484,0.01997,0.03397,0.00285,0,1,0.03789,0.03384,0.02077,0.07835,0.91574
Q8LCW9,AT1G01100.1,1,0.26874,0.72645,0.45931,0.57441,0.2334,0.07441,0.81959,0.01231,0.60921,0
Q2HIQ2,AT1G01170.1,0.05115,0.02471,0.02754,0.07402,0.14263,1,0.9095,0.02521,0,0.01107,0.55097
Q39056,AT1G01290.1,0.05807,0.00873,0.03175,0.03681,0.08909,1,0.97938,0.03767,0,0.05454,0.64794
Q9LNJ3,AT1G01300.1,0.02359,0.07067,0.0152,0.23966,0.23118,0.06892,0.05722,1,0.22491,0.07869,0
Q8GX84,AT1G01350.1,0.04941,0,0.0431,0.0635,0.0246,0.03743,0.01451,0.05887,0.01135,1,0.02187
Q8RVQ9,AT1G01370.1,0.14305,0.09626,0.10561,0.20588,0.29545,0.24198,0.16176,0.09893,0,1,0.07754
O03983,AT1G01470.1,1,0.59588,0.93468,0.54577,0.41325,0.03863,0.0974,0.26949,0.75486,0.21728,0
A0A1P8AS52,AT1G01490.4,0.8406,0.58522,0.82405,1,0.80695,0.15223,0.15279,0,0.07832,0.12741,0.07667
O23702,AT1G01510.1,1,0.47025,0.76641,0.30704,0.18429,0.07106,0.02992,0.13431,0.16321,0.0238,0
Q3EDL4,AT1G01540.2,1,0.74151,0.95039,0.82507,0.5248,0.24282,0.09138,0.12794,0.00261,0,0.01567
Q9LMM4,AT1G01570.2,0.1313,0.14063,0.15246,1,0.9023,0.17299,0.17673,0.51151,0,0.07654,0.07156
Q08733,AT1G01620.1,1,0.67817,0.873,0.71493,0.51367,0.10178,0.2012,0.01529,0,0.00137,0.03688
Q9LQ96,AT1G01630.1,1,0.55788,0.95369,0.52922,0.40794,0.09041,0.17861,0.82359,0.93054,0.06505,0
F4HU44,AT1G01650.2,0.26882,0.51075,0.33602,1,0.64785,0.34677,0.30914,0.09409,0.01075,0,0.28763
F4HU51,AT1G01710.1,0.41438,0.10135,0.41214,0.08459,0.4009,1,0.63036,0.13404,0,0.65713,0.72477
Q9LQ84,AT1G01725.1,0.05606,0.0338,0.03836,0.07725,0.10703,1,0.76636,0.03514,0.02065,0,0.62312
Q9ZTZ7,AT1G01790.1,0.05452,0.02157,0.06531,0.12043,0.09407,1,0.08808,0.10186,0,0.01917,0.95027
Q94K30,AT1G01800.1,0.84248,0.40806,0.71249,0.23507,0.15995,0.09263,0.0827,0.2554,1,0,0.07754
