protein id,location
AT1G33810.1,chloroplast
AT1G50320.1,chloroplast
AT1G78620.2,chloroplast
AT2G16070.1,chloroplast
AT2G28900.1,chloroplast
AT2G31530.1,chloroplast
AT3G06510.1,chloroplast
AT3G06960.1,chloroplast
AT4G25650.1,chloroplast
AT4G36910.1,chloroplast
AT5G16150.1,chloroplast
AT5G17520.1,chloroplast
AT5G46110.3,chloroplast
AT5G54800.1,chloroplast
ATCG01000.1,chloroplast
AT1G01080.2,chloroplast
AT1G01090.1,chloroplast
AT1G01790.1,chloroplast
AT1G02150.1,chloroplast
AT1G02910.1,chloroplast
AT1G03030.1,chloroplast
AT1G03160.1,chloroplast
AT1G03310.1,chloroplast
AT1G03475.1,chloroplast
AT1G03630.1,chloroplast
AT1G04620.1,chloroplast
AT1G04940.1,chloroplast
AT1G05190.1,chloroplast
AT1G06190.5,chloroplast
AT1G06680.1,chloroplast
AT1G06690.1,chloroplast
AT1G06820.1,chloroplast
AT1G07320.1,chloroplast
AT1G07780.3,chloroplast
AT1G08490.1,chloroplast
AT1G08520.1,chloroplast
AT1G08530.1,chloroplast
AT1G08550.1,chloroplast
AT1G08640.1,chloroplast
AT1G09420.2,chloroplast
AT1G09795.1,chloroplast
AT1G09830.1,chloroplast
AT1G10510.1,chloroplast
AT1G10700.1,chloroplast
AT1G10760.1,chloroplast
AT1G10830.1,chloroplast
AT1G11750.1,chloroplast
AT1G11790.1,chloroplast
AT1G12230.2,chloroplast
AT1G12410.1,chloroplast
AT1G12800.1,chloroplast
AT1G12900.5,chloroplast
AT1G13270.1,chloroplast
AT1G14345.1,chloroplast
AT1G15140.1,chloroplast
AT1G15410.1,chloroplast
AT1G15700.1,chloroplast
AT1G15710.1,chloroplast
AT1G15730.1,chloroplast
AT1G15820.1,chloroplast
AT1G16300.1,chloroplast
AT1G16720.1,chloroplast
AT1G16790.1,chloroplast
AT1G17050.1,chloroplast
AT1G17160.1,chloroplast
AT1G17220.1,chloroplast
AT1G17745.1,chloroplast
AT1G18500.1,chloroplast
AT1G20020.1,chloroplast
AT1G21350.3,chloroplast
AT1G21440.1,chloroplast
AT1G21500.1,chloroplast
AT1G21600.1,chloroplast
AT1G21640.2,chloroplast
AT1G22170.1,chloroplast
AT1G22700.3,chloroplast
AT1G23180.1,chloroplast
AT1G23740.1,chloroplast
AT1G24280.1,chloroplast
AT1G24360.1,chloroplast
AT1G26160.1,chloroplast
AT1G26220.1,chloroplast
AT1G27510.1,chloroplast
AT1G29700.1,chloroplast
AT1G29900.1,chloroplast
AT1G30120.1,chloroplast
AT1G30510.3,chloroplast
AT1G31180.2,chloroplast
AT1G31190.1,chloroplast
AT1G31220.1,chloroplast
AT1G31230.1,chloroplast
AT1G31330.1,chloroplast
AT1G31410.1,chloroplast
AT1G31800.1,chloroplast
AT1G31860.1,chloroplast
AT1G32200.1,chloroplast
AT1G32220.1,chloroplast
AT1G32380.1,chloroplast
AT1G32440.1,chloroplast
AT1G32500.1,chloroplast
AT1G32550.2,chloroplast
AT1G32990.1,chloroplast
AT1G33780.1,chloroplast
AT1G34000.1,chloroplast
AT1G34430.1,chloroplast
AT1G35340.1,chloroplast
AT1G35420.1,chloroplast
AT1G35680.1,chloroplast
AT1G36280.1,chloroplast
AT1G36390.1,chloroplast
AT1G42960.1,chloroplast
AT1G42970.1,chloroplast
AT1G44575.1,chloroplast
AT1G44920.1,chloroplast
AT1G48350.1,chloroplast
AT1G48460.2,chloroplast
AT1G48850.1,chloroplast
AT1G48860.1,chloroplast
AT1G49970.1,chloroplast
AT1G50020.1,chloroplast
AT1G50170.1,chloroplast
AT1G50250.1,chloroplast
AT1G50450.1,chloroplast
AT1G50900.1,chloroplast
AT1G51100.1,chloroplast
AT1G51110.1,chloroplast
AT1G51560.1,chloroplast
AT1G52230.1,chloroplast
AT1G52510.1,chloroplast
AT1G52590.1,chloroplast
AT1G52670.1,chloroplast
AT1G53520.1,chloroplast
AT1G54500.1,chloroplast
AT1G54520.1,chloroplast
AT1G54570.1,chloroplast
AT1G54780.1,chloroplast
AT1G55480.1,chloroplast
AT1G55490.1,chloroplast
AT1G55670.1,chloroplast
AT1G55930.1,chloroplast
AT1G56180.1,chloroplast
AT1G56190.1,chloroplast
AT1G56500.1,chloroplast
AT1G58080.1,chloroplast
AT1G58290.1,chloroplast
AT1G60000.1,chloroplast
AT1G60990.1,chloroplast
AT1G61520.1,chloroplast
AT1G62640.1,chloroplast
AT1G62750.1,chloroplast
AT1G63610.1,chloroplast
AT1G63680.1,chloroplast
AT1G64190.1,chloroplast
AT1G64430.1,chloroplast
AT1G64510.1,chloroplast
AT1G64680.2,chloroplast
AT1G65230.1,chloroplast
AT1G65260.1,chloroplast
AT1G66430.1,chloroplast
AT1G67090.1,chloroplast
AT1G67280.1,chloroplast
AT1G67660.1,chloroplast
AT1G68590.1,chloroplast
AT1G68660.1,chloroplast
AT1G68730.1,chloroplast
AT1G68830.1,chloroplast
AT1G69200.1,chloroplast
AT1G69370.1,chloroplast
AT1G69740.1,chloroplast
AT1G69830.1,chloroplast
AT1G70070.1,chloroplast
AT1G70570.2,chloroplast
AT1G71480.1,chloroplast
AT1G71500.1,chloroplast
AT1G71720.2,chloroplast
AT1G71920.3,chloroplast
AT1G72810.1,chloroplast
AT1G73110.1,chloroplast
AT1G74030.1,chloroplast
AT1G74040.1,chloroplast
AT1G74470.1,chloroplast
AT1G74640.1,chloroplast
AT1G74730.1,chloroplast
AT1G74850.1,chloroplast
AT1G74960.1,chloroplast
AT1G74970.1,chloroplast
AT1G75010.1,chloroplast
AT1G75350.1,chloroplast
AT1G77090.1,chloroplast
AT1G77490.1,chloroplast
AT1G78140.1,chloroplast
AT1G78630.1,chloroplast
AT1G79040.1,chloroplast
AT1G79050.1,chloroplast
AT1G79560.2,chloroplast
AT1G79600.1,chloroplast
AT1G79850.1,chloroplast
AT1G80030.1,chloroplast
AT1G80380.4,chloroplast
AT1G80480.1,chloroplast
AT1G80560.1,chloroplast
AT1G80600.1,chloroplast
AT2G01110.1,chloroplast
AT2G01140.1,chloroplast
AT2G01350.1,chloroplast
AT2G02500.1,chloroplast
AT2G02740.1,chloroplast
AT2G03140.12,chloroplast
AT2G03390.1,chloroplast
AT2G03420.1,chloroplast
AT2G04030.1,chloroplast
AT2G04400.1,chloroplast
AT2G04530.1,chloroplast
AT2G04700.1,chloroplast
AT2G05070.1,chloroplast
AT2G05310.1,chloroplast
AT2G05990.1,chloroplast
AT2G14750.1,chloroplast
AT2G14880.1,chloroplast
AT2G15290.1,chloroplast
AT2G15570.1,chloroplast
AT2G15620.1,chloroplast
AT2G15820.1,chloroplast
AT2G16570.1,chloroplast
AT2G17265.1,chloroplast
AT2G17630.1,chloroplast
AT2G17972.1,chloroplast
AT2G18710.1,chloroplast
AT2G19940.1,chloroplast
AT2G20260.1,chloroplast
AT2G20690.1,chloroplast
